Date;Counts
2026-01-27 07:31:00;90,533
2026-01-27 07:32:00;92,846
2026-01-27 07:33:00;89,051
2026-01-27 07:34:00;94,081
2026-01-27 07:35:00;89,756
2026-01-27 07:36:00;95,576
2026-01-27 07:37:00;90,437
2026-01-27 07:38:00;92,118
2026-01-27 07:39:00;90,451
2026-01-27 07:40:00;89,821
2026-01-27 07:41:00;91,604
2026-01-27 07:42:00;91,061
2026-01-27 07:43:00;89,197
2026-01-27 07:44:00;91,513
2026-01-27 07:45:00;90,386
2026-01-27 07:46:00;90,030
2026-01-27 07:47:00;92,019
2026-01-27 07:48:00;93,266
2026-01-27 07:49:00;92,696
2026-01-27 07:50:00;88,853
2026-01-27 07:51:00;92,108
2026-01-27 07:52:00;93,605
2026-01-27 07:53:00;89,999
2026-01-27 07:54:00;94,186
2026-01-27 07:55:00;90,041
2026-01-27 07:56:00;91,941
2026-01-27 07:57:00;93,740
2026-01-27 07:58:00;89,680
2026-01-27 07:59:00;91,119
2026-01-27 08:00:00;89,201
2026-01-27 08:01:00;91,496
2026-01-27 08:02:00;90,732
2026-01-27 08:03:00;91,797
2026-01-27 08:04:00;96,185
2026-01-27 08:05:00;89,728
2026-01-27 08:06:00;92,279
2026-01-27 08:07:00;90,602
2026-01-27 08:08:00;93,313
2026-01-27 08:09:00;91,775
2026-01-27 08:10:00;91,657
2026-01-27 08:11:00;92,667
2026-01-27 08:12:00;92,850
2026-01-27 08:13:00;89,180
2026-01-27 08:14:00;94,919
2026-01-27 08:15:00;91,977
2026-01-27 08:16:00;95,240
2026-01-27 08:17:00;91,977
2026-01-27 08:18:00;91,627
2026-01-27 08:19:00;91,133
2026-01-27 08:20:00;92,306
2026-01-27 08:21:00;91,565
2026-01-27 08:22:00;94,078
2026-01-27 08:23:00;92,652
2026-01-27 08:24:00;90,555
2026-01-27 08:25:00;90,134
2026-01-27 08:26:00;92,269
2026-01-27 08:27:00;93,799
2026-01-27 08:28:00;91,833
2026-01-27 08:29:00;94,401
2026-01-27 08:30:00;93,345
2026-01-27 08:31:00;92,146
2026-01-27 08:32:00;94,829
2026-01-27 08:33:00;94,593
2026-01-27 08:34:00;89,061
2026-01-27 08:35:00;93,708
2026-01-27 08:36:00;89,728
2026-01-27 08:37:00;89,418
2026-01-27 08:38:00;88,269
2026-01-27 08:39:00;92,616
2026-01-27 08:40:00;90,814
2026-01-27 08:41:00;90,493
2026-01-27 08:42:00;90,571
2026-01-27 08:43:00;91,102
2026-01-27 08:44:00;88,546
2026-01-27 08:45:00;94,799
2026-01-27 08:46:00;90,730
2026-01-27 08:47:00;90,926
2026-01-27 08:48:00;89,683
2026-01-27 08:49:00;90,719
2026-01-27 08:50:00;90,451
2026-01-27 08:51:00;89,326
2026-01-27 08:52:00;94,167
2026-01-27 08:53:00;88,319
2026-01-27 08:54:00;91,096
2026-01-27 08:55:00;92,149
2026-01-27 08:56:00;88,940
2026-01-27 08:57:00;91,374
2026-01-27 08:58:00;93,236
2026-01-27 08:59:00;90,412
2026-01-27 09:00:00;90,140
2026-01-27 09:01:00;91,978
2026-01-27 09:02:00;91,144
2026-01-27 09:03:00;90,746
2026-01-27 09:04:00;91,012
2026-01-27 09:05:00;89,749
2026-01-27 09:06:00;87,631
2026-01-27 09:07:00;93,474
2026-01-27 09:08:00;98,487
2026-01-27 09:09:00;90,889
2026-01-27 09:10:00;90,732
2026-01-27 09:11:00;90,009
2026-01-27 09:12:00;91,238
2026-01-27 09:13:00;89,315
2026-01-27 09:14:00;93,413
2026-01-27 09:15:00;93,853
2026-01-27 09:16:00;89,027
2026-01-27 09:17:00;92,393
2026-01-27 09:18:00;90,212
2026-01-27 09:19:00;92,830
2026-01-27 09:20:00;90,470
2026-01-27 09:21:00;91,732
2026-01-27 09:22:00;87,363
2026-01-27 09:23:00;90,066
2026-01-27 09:24:00;91,676
2026-01-27 09:25:00;89,548
2026-01-27 09:26:00;89,871
2026-01-27 09:27:00;93,215
2026-01-27 09:28:00;89,651
2026-01-27 09:29:00;90,275
2026-01-27 09:30:00;92,004
2026-01-27 09:31:00;92,026
2026-01-27 09:32:00;93,767
2026-01-27 09:33:00;89,687
2026-01-27 09:34:00;92,335
2026-01-27 09:35:00;92,300
2026-01-27 09:36:00;92,091
2026-01-27 09:37:00;92,136
2026-01-27 09:38:00;93,198
2026-01-27 09:39:00;93,028
2026-01-27 09:40:00;88,038
2026-01-27 09:41:00;91,457
2026-01-27 09:42:00;88,942
2026-01-27 09:43:00;90,763
2026-01-27 09:44:00;92,171
2026-01-27 09:45:00;91,237
2026-01-27 09:46:00;90,465
2026-01-27 09:47:00;91,075
2026-01-27 09:48:00;90,141
2026-01-27 09:49:00;88,846
2026-01-27 09:50:00;89,073
2026-01-27 09:51:00;92,335
2026-01-27 09:52:00;89,610
2026-01-27 09:53:00;93,865
2026-01-27 09:54:00;90,568
2026-01-27 09:55:00;88,258
2026-01-27 09:56:00;90,862
2026-01-27 09:57:00;88,492
2026-01-27 09:58:00;92,748
2026-01-27 09:59:00;89,096
2026-01-27 10:00:00;90,550
2026-01-27 10:01:00;92,227
2026-01-27 10:02:00;95,477
2026-01-27 10:03:00;89,780
2026-01-27 10:04:00;92,373
2026-01-27 10:05:00;92,596
2026-01-27 10:06:00;92,800
2026-01-27 10:07:00;90,440
2026-01-27 10:08:00;92,636
2026-01-27 10:09:00;90,564
2026-01-27 10:10:00;91,114
2026-01-27 10:11:00;92,665
2026-01-27 10:12:00;88,673
2026-01-27 10:13:00;91,435
2026-01-27 10:14:00;89,245
2026-01-27 10:15:00;89,833
2026-01-27 10:16:00;90,368
2026-01-27 10:17:00;91,740
2026-01-27 10:18:00;93,095
2026-01-27 10:19:00;88,231
2026-01-27 10:20:00;91,696
2026-01-27 10:21:00;93,191
2026-01-27 10:22:00;90,435
2026-01-27 10:23:00;90,435
2026-01-27 10:24:00;92,215
